disease,combination,food_name
"Cryptorchidism, retained testicle","Egg (whole), Sweet potato, Spinach, Blueberry",Wellness Egg Bowl #1
"Cryptorchidism, retained testicle","Salmon, Sweet potato, Spinach, Sunflower seeds",Nourish Salmon Stew #2
"Cryptorchidism, retained testicle","Sardine, Sweet potato, Spinach, Blueberry",Vitality Sardine Dinner #3
"Cryptorchidism, retained testicle","Beef, Sweet potato, Spinach, Sunflower seeds",Health Guard Beef Mix
"Cryptorchidism, retained testicle","Chicken, Sweet potato, Spinach, Blueberry",Care Blend Chicken Plate
Cutaneous asthenia (Ehlers-Danlos syndrome),"Salmon, Sweet potato, Spinach, Bell pepper, Blueberry",Wellness Salmon Bowl
Cutaneous asthenia (Ehlers-Danlos syndrome),"Sardine, Sweet potato, Bell pepper, Broccoli, Pumpkin seeds",Nourish Sardine Stew #2
Cutaneous asthenia (Ehlers-Danlos syndrome),"Chicken feet, Sweet potato, Broccoli, Kale, Blueberry",Vitality Chicken feet Dinner
Cutaneous asthenia (Ehlers-Danlos syndrome),"Egg (whole), Sweet potato, Kale, Spinach, Bone broth",Health Guard Egg Mix #4
Cutaneous asthenia (Ehlers-Danlos syndrome),"Beef, Sweet potato, Spinach, Bell pepper, Blueberry",Care Blend Beef Plate #5
Cyclic hematopoiesis,"Beef, Sweet potato, Broccoli, Kidney Beans, Pumpkin seeds",Skin Glow Beef Bowl #1
Cyclic hematopoiesis,"Beef liver, Sweet potato, Kidney Beans, Spinach, Sunflower seeds",Coat Shine Beef liver Stew #2
Cyclic hematopoiesis,"Chicken Liver, Sweet potato, Spinach, Asparagus, Pumpkin seeds",Derma Care Chicken Liver Dinner #3
Cyclic hematopoiesis,"Egg (whole), Sweet potato, Asparagus, Broccoli, Sunflower seeds",Itch Relief Egg Mix #4
Cyclic hematopoiesis,"Sardine, Sweet potato, Broccoli, Kidney Beans, Pumpkin seeds",Fur Renewal Sardine Plate #5
Dalmatian bronzing syndrome,"Chicken breast, Pumpkin, Spinach, Zucchini, Blueberry",Wellness Chicken breast Bowl
Dalmatian bronzing syndrome,"Egg White, Sweet potato, Zucchini, Bell pepper in moderate amounts",Nourish Egg White Stew
Dalmatian bronzing syndrome,"White Fish, Rice, Bell pepper in moderate amounts, Broccoli, Blueberry",Vitality White Fish Dinner
Dalmatian bronzing syndrome,"Eggs, Oats, Broccoli, Spinach",Health Guard Eggs Mix
Dalmatian bronzing syndrome,"Turkey, Pumpkin, Spinach, Zucchini, Blueberry",Care Blend Turkey Plate
Deafness,"Salmon, Sweet potato, Broccoli, Spinach, Blueberry",Brain Boost Salmon Bowl
Deafness,"Sardine, Brown rice, Spinach, Asparagus, Pumpkin seeds",Neuro Shield Sardine Stew
Deafness,"Egg (whole), Oats, Asparagus, Bell pepper, Blueberry",Calm Mind Egg Dinner
Deafness,"Beef, Sweet potato, Bell pepper, Kale, Flaxseed",Nerve Care Beef Mix
Deafness,"Beef liver, Brown rice, Kale, Broccoli, Blueberry",Seizure Shield Beef liver Plate
Degenerative myelopathy,"Egg (whole), Sweet potato, Spinach, Bell pepper, Blueberry",Brain Boost Egg Bowl
Degenerative myelopathy,"Salmon, Sweet potato, Bell pepper, Broccoli, Pumpkin seeds",Neuro Shield Salmon Stew #2
Degenerative myelopathy,"Beef liver, Sweet potato, Broccoli, Kale, Blueberry",Calm Mind Beef liver Dinner
Degenerative myelopathy,"Sardine, Sweet potato, Kale, Spinach, Cod liver oil",Nerve Care Sardine Mix
Degenerative myelopathy,"Mackerel, Sweet potato, Spinach, Bell pepper, Blueberry",Seizure Shield Mackerel Plate #5
Demodicosis/ Demodectic mange,"Salmon, Sweet potato, Carrot, Spinach, Blueberry",Skin Glow Salmon Bowl #1
Demodicosis/ Demodectic mange,"Egg (whole), Sweet potato, Spinach, Bell pepper, Sunflower seeds",Coat Shine Egg Stew #2
Demodicosis/ Demodectic mange,"Sardine, Sweet potato, Bell pepper, Broccoli, Blueberry",Derma Care Sardine Dinner
Demodicosis/ Demodectic mange,"Yogurt, Sweet potato, Broccoli, Chickpeas, Sunflower seeds",Itch Relief Yogurt Mix
Demodicosis/ Demodectic mange,"Beef liver, Sweet potato, Chickpeas, Kale, Blueberry",Fur Renewal Beef liver Plate
Dermatomyositis and ulcerative dermatosis,"Egg (whole), Sweet potato, Spinach, Broccoli, Blueberry",Skin Glow Egg Bowl
Dermatomyositis and ulcerative dermatosis,"Salmon, Sweet potato, Broccoli, Kale, Pumpkin seeds",Coat Shine Salmon Stew
Dermatomyositis and ulcerative dermatosis,"Sardine, Sweet potato, Kale, Bell pepper, Blueberries",Derma Care Sardine Dinner #3
Dermatomyositis and ulcerative dermatosis,"Beef, Sweet potato, Bell pepper, Chickpeas, Cod liver oil",Itch Relief Beef Mix
Dermatomyositis and ulcerative dermatosis,"Chicken, Sweet potato, Chickpeas, Spinach, Apples (no seeds)",Fur Renewal Chicken Plate #5
Dermoids,"Egg yolk, Sweet potato, Carrot, Spinach, Blueberry",Wellness Egg yolk Bowl
Dermoids,"Salmon, Pumpkin, Spinach, Carrot, Pumpkin seeds",Nourish Salmon Stew #2
Dermoids,"Sardine, Sweet potato, Carrot, Spinach, Blueberry",Vitality Sardine Dinner #3
Dermoids,"Beef, Pumpkin, Spinach, Carrot, Pumpkin seeds",Health Guard Beef Mix #4
Dermoids,"Beef liver, Sweet potato, Carrot, Spinach, Blueberry",Care Blend Beef liver Plate
Diabetes mellitus,"Chicken breast, Pumpkin, Broccoli, Spinach, Flaxseed",Hormone Balance Chicken breast Bowl
Diabetes mellitus,"Egg (whole), Oat Bran, Spinach, Green beans, Pumpkin seeds",Thyroid Support Egg Stew
Diabetes mellitus,"Salmon, Sweet Potato (moderate), Green beans, Chickpeas, Sunflower seeds",Endo Care Salmon Dinner
Diabetes mellitus,"Sardine, Brown rice, Chickpeas, Broccoli, Flaxseed",Gland Guard Sardine Mix
Diabetes mellitus,"Beef, Sweet potato, Broccoli, Spinach, Pumpkin seeds",Metabolic Fuel Beef Plate
Dilated cardiomyopathy,"Beef, Sweet potato, Spinach, Flaxseed",Heart Guard Beef Bowl
Dilated cardiomyopathy,"Beef heart, Brown rice, Spinach, Pumpkin seeds",Cardio Shield Beef heart Stew
Dilated cardiomyopathy,"Chicken heart, Oats, Spinach, Cod liver oil",Strong Heart Chicken heart Dinner
Dilated cardiomyopathy,"Egg (whole), Sweet potato, Spinach, Sunflower seeds",Taurine Boost Egg Mix
Dilated cardiomyopathy,"Salmon, Brown rice, Spinach, Flaxseed",Heart Health Salmon Plate
Disorders of sexual development - sexual reversal,"Egg (whole), Sweet potato, Spinach, Carrot, Blueberry",Wellness Egg Bowl #1
Disorders of sexual development - sexual reversal,"Salmon, Pumpkin, Carrot, Chickpeas, Sunflower seeds",Nourish Salmon Stew #2
Disorders of sexual development - sexual reversal,"Sardine, Sweet potato, Chickpeas, Spinach, Blueberry",Vitality Sardine Dinner #3
Disorders of sexual development - sexual reversal,"Beef, Pumpkin, Spinach, Carrot, Sunflower seeds",Health Guard Beef Mix #4
Disorders of sexual development - sexual reversal,"Beef liver, Sweet potato, Carrot, Chickpeas, Blueberry",Care Blend Beef liver Plate #5
Ectropion,"Egg yolk, Pumpkin, Carrot, Kale, Blueberry",Bright Eyes Egg yolk Bowl #1
Ectropion,"Salmon, Sweet potato, Kale, Spinach, Pumpkin seeds",Vision Shield Salmon Stew #2
Ectropion,"Sardine, Pumpkin, Spinach, Carrot, Blueberry",Clear Sight Sardine Dinner #3
Ectropion,"Beef, Sweet potato, Carrot, Kale, Pumpkin seeds",Retina Guard Beef Mix #4
Ectropion,"Beef liver, Pumpkin, Kale, Spinach, Blueberry",Eye Protect Beef liver Plate #5
Elbow dysplasia - OCD of the elbow,"Salmon, Sweet potato, Spinach, Broccoli, Bone broth",Joint Shield Salmon Bowl #1
Elbow dysplasia - OCD of the elbow,"Sardine, Sweet potato, Broccoli, Kale, Flaxseed",Flex & Move Sardine Stew #2
Elbow dysplasia - OCD of the elbow,"Chicken feet, Sweet potato, Kale, Spinach, Pumpkin seeds",Cartilage Care Chicken feet Dinner #3
Elbow dysplasia - OCD of the elbow,"Egg (whole), Sweet potato, Spinach, Broccoli, Cod liver oil",Strong Bones Egg Mix #4
Elbow dysplasia - OCD of the elbow,"Chicken cartilage, Sweet potato, Broccoli, Kale, Bone broth",Joint Support Chicken cartilage Plate
Entropion,"Egg yolk, Pumpkin, Carrot, Kale, Blueberry",Bright Eyes Egg yolk Bowl #1
Entropion,"Salmon, Sweet potato, Kale, Spinach, Pumpkin seeds",Vision Shield Salmon Stew #2
Entropion,"Sardine, Pumpkin, Spinach, Carrot, Blueberry",Clear Sight Sardine Dinner #3
Entropion,"Beef, Sweet potato, Carrot, Kale, Pumpkin seeds",Retina Guard Beef Mix #4
Entropion,"Beef liver, Pumpkin, Kale, Spinach, Blueberry",Eye Protect Beef liver Plate #5
Exocrine pancreatic insufficiency,"Chicken breast, White rice, Broccoli, Pumpkin seeds",Tummy Calm Chicken breast Bowl
Exocrine pancreatic insufficiency,"Egg White, Pumpkin, Broccoli, Pumpkin seeds",Gut Heal Egg White Stew
Exocrine pancreatic insufficiency,"Lean Beef, Sweet potato, Broccoli, Pumpkin seeds",Digest Ease Lean Beef Dinner
Exocrine pancreatic insufficiency,"Sardine (small), Brown rice, Broccoli, Pumpkin seeds",Belly Balance Sardine (small) Mix
Exocrine pancreatic insufficiency,"Cottage cheese (low-fat), Cooked white rice, Broccoli, Pumpkin seeds",Gentle Gut Cottage cheese Plate
"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)","Egg yolk, Sweet potato, Spinach, Carrot, Blueberry",Skin Glow Egg yolk Bowl
"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)","Salmon, Pumpkin, Carrot, Kale, Hemp seeds",Coat Shine Salmon Stew #2
"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)","Sardine, Sweet potato, Kale, Spinach, Blueberry",Derma Care Sardine Dinner #3
"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)","Beef liver, Pumpkin, Spinach, Carrot, Sunflower seeds",Itch Relief Beef liver Mix #4
"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)","Chicken fat, Sweet potato, Carrot, Kale, Blueberry",Fur Renewal Chicken fat Plate
Familial kidney disease,"Chicken breast, Sweet potato, Cauliflower, Cabbage, Blueberry",Kidney Kind Chicken breast Bowl
Familial kidney disease,"Salmon (moderate), Pumpkin, Cabbage, Cucumber, Cod liver oil",Renal Relief Salmon (moderate) Stew
Familial kidney disease,"White Fish, Rice, Cucumber, Cauliflower, Blueberry",Gentle Kidney White Fish Dinner
Familial kidney disease,"Egg White, White rice, Cauliflower, Cabbage, Cod liver oil",Low-P Comfort Egg White Mix
Familial kidney disease,"Chicken breast (small amounts), Brown rice, Cabbage, Cucumber, Blueberry",Kidney Shield Chicken breast (small amounts) Plate
Fanconi syndrome,"Chicken breast, Banana, Spinach, Broccoli, Pumpkin seeds",Kidney Kind Chicken breast Bowl #1
Fanconi syndrome,"Salmon, Sweet potato, Broccoli, Chickpeas, Bone broth (sodium-containing)",Renal Relief Salmon Stew
Fanconi syndrome,"Sardine, Pumpkin, Chickpeas, Spinach, Pumpkin seeds",Gentle Kidney Sardine Dinner
Fanconi syndrome,"Egg (whole), Rice, Spinach, Broccoli, Bone broth (sodium-containing)",Low-P Comfort Egg Mix
Fanconi syndrome,"Eggs, Banana, Broccoli, Chickpeas, Pumpkin seeds",Kidney Shield Eggs Plate
Fold dermatitis/pyoderma,"Egg (whole), Sweet potato, Carrot, Spinach, Blueberry",Skin Glow Egg Bowl #1
Fold dermatitis/pyoderma,"Salmon, Pumpkin, Spinach, Chickpeas, Pumpkin seeds",Coat Shine Salmon Stew #2
Fold dermatitis/pyoderma,"Sardine, Sweet potato, Chickpeas, Kale, Blueberry",Derma Care Sardine Dinner #3
Fold dermatitis/pyoderma,"Yogurt, Pumpkin, Kale, Carrot, Flaxseed",Itch Relief Yogurt Mix #4
Fold dermatitis/pyoderma,"Beef, Sweet potato, Carrot, Spinach, Blueberry",Fur Renewal Beef Plate #5
Follicular dysplasias,"Egg (cooked), Sweet potato, Carrot, Spinach, Blueberry",Skin Glow Egg (cooked) Bowl
Follicular dysplasias,"Salmon, Oats, Spinach, Chickpeas, Sunflower seeds",Coat Shine Salmon Stew #2
Follicular dysplasias,"Sardine, Pumpkin, Chickpeas, Carrot, Blueberry",Derma Care Sardine Dinner #3
Follicular dysplasias,"Egg (whole), Sweet potato, Carrot, Spinach, Sunflower seeds",Itch Relief Egg Mix #4
Follicular dysplasias,"Beef liver, Oats, Spinach, Chickpeas, Blueberry",Fur Renewal Beef liver Plate #5
Gastric dilatation-volvulus,"Sardine, Pumpkin, Broccoli",Tummy Calm Sardine Bowl
Gastric dilatation-volvulus,"Chicken breast, Sweet potato, Broccoli",Gut Heal Chicken breast Stew
Gastric dilatation-volvulus,"Egg (whole), Rice, Broccoli",Digest Ease Egg Dinner
Gastric dilatation-volvulus,"Lean Beef, Easily digestible carbs (rice), Broccoli",Belly Balance Lean Beef Mix
Gastric dilatation-volvulus,"Yogurt, Oats, Broccoli",Gentle Gut Yogurt Plate
German shepherd pyoderma,"Egg (whole), Sweet potato, Carrot, Spinach, Blueberry",Skin Glow Egg Bowl #1
German shepherd pyoderma,"Salmon, Pumpkin, Spinach, Chickpeas, Sunflower seeds",Coat Shine Salmon Stew #2
German shepherd pyoderma,"Sardine, Sweet potato, Chickpeas, Carrot, Blueberry",Derma Care Sardine Dinner #3
German shepherd pyoderma,"Yogurt, Pumpkin, Carrot, Spinach, Sunflower seeds",Itch Relief Yogurt Mix #4
German shepherd pyoderma,"Beef, Sweet potato, Spinach, Chickpeas, Blueberry",Fur Renewal Beef Plate #5
Glaucoma,"Salmon, Sweet potato, Kale, Spinach, Blueberry",Bright Eyes Salmon Bowl #1
Glaucoma,"Egg yolk, Pumpkin, Spinach, Carrot, Cod liver oil",Vision Shield Egg yolk Stew
Glaucoma,"Sardine, Brown rice, Carrot, Broccoli, Blueberry",Clear Sight Sardine Dinner #3
Glaucoma,"Herring, Oats, Broccoli, Bell pepper, Sunflower seeds",Retina Guard Herring Mix
Glaucoma,"Mackerel, Sweet potato, Bell pepper, Kale, Blueberry",Eye Protect Mackerel Plate
Globoid cell leukodystrophy (galactocerebrosidosis),"Beef liver, Sweet potato, Spinach, Blueberry",Joint Shield Beef liver Bowl
Globoid cell leukodystrophy (galactocerebrosidosis),"Salmon, Sweet potato, Spinach, Pumpkin seeds",Flex & Move Salmon Stew #2
Globoid cell leukodystrophy (galactocerebrosidosis),"Sardine, Sweet potato, Spinach, Blueberry",Cartilage Care Sardine Dinner #3
Globoid cell leukodystrophy (galactocerebrosidosis),"Egg (whole), Sweet potato, Spinach, Sunflower seeds",Strong Bones Egg Mix #4
Globoid cell leukodystrophy (galactocerebrosidosis),"Eggs, Sweet potato, Spinach, Blueberry",Joint Support Eggs Plate
Gluten-sensitive enteropathy,"Chicken breast, Rice, Spinach, Asparagus, Pumpkin seeds",Tummy Calm Chicken breast Bowl #1
Gluten-sensitive enteropathy,"Salmon, Sweet potato, Asparagus, Broccoli, Pumpkin seeds",Gut Heal Salmon Stew
Gluten-sensitive enteropathy,"Sardine, Banana, Broccoli, Chickpeas, Pumpkin seeds",Digest Ease Sardine Dinner
Gluten-sensitive enteropathy,"Egg (whole), Pumpkin, Chickpeas, Spinach, Pumpkin seeds",Belly Balance Egg Mix
Gluten-sensitive enteropathy,"Yogurt, Rice, Spinach, Asparagus, Pumpkin seeds",Gentle Gut Yogurt Plate #5
Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,"Egg (cooked), Sweet potato, Carrot, Spinach, Blueberry",Skin Glow Egg (cooked) Bowl #1
Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,"Salmon, Pumpkin, Spinach, Chickpeas, Sunflower seeds",Coat Shine Salmon Stew #2
Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,"Sardine, Sweet potato, Chickpeas, Carrot, Blueberry",Derma Care Sardine Dinner #3
Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,"Beef, Pumpkin, Carrot, Spinach, Sunflower seeds",Itch Relief Beef Mix #4
Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,"Beef liver, Sweet potato, Spinach, Chickpeas, Blueberry",Fur Renewal Beef liver Plate #5
Hemivertebra,"Sardine, Sweet potato, Broccoli, Spinach, Bone broth",Joint Shield Sardine Bowl
Hemivertebra,"Chicken feet, Brown rice, Spinach, Broccoli, Pumpkin seeds",Flex & Move Chicken feet Stew
Hemivertebra,"Egg (whole), Oats, Broccoli, Spinach, Bone broth",Cartilage Care Egg Dinner
Hemivertebra,"Salmon, Sweet potato, Spinach, Broccoli, Pumpkin seeds",Strong Bones Salmon Mix
Hemivertebra,"Beef trachea, Brown rice, Broccoli, Spinach, Bone broth",Joint Support Beef trachea Plate
Hemophilia,"Beef liver, Pumpkin, Broccoli, Kale, Blueberries",Blood Builder Beef liver Bowl #1
Hemophilia,"Egg (whole), Sweet potato, Kale, Parsley",Iron Boost Egg Stew #2
Hemophilia,"Salmon, Pumpkin, Parsley, Spinach, Blueberries",Vital Blood Salmon Dinner #3
Hemophilia,"Sardine, Sweet potato, Spinach, Bell pepper",Blood Builder Sardine Bowl
