disease,combination,food_name
Corneal dystrophy,"Carrot, Salmon, Broccoli, Pumpkin Seeds, Egg, Kale",Eye Health Bowl
"Craniomandibular osteopathy (""lion jaw"")","Bone Broth, Sardine, Egg Yolk, Pumpkin Seeds, Broccoli, Salmon",Wellness Bowl
"Cryptorchidism, retained testicle","Pumpkin Seeds, Sunflower Seeds, Sardine, Salmon, Blueberry",Wellness Bowl
Cutaneous asthenia (Ehlers-Danlos syndrome),"Broccoli, Chicken Feet, Beef Liver, Spinach, Pumpkin Seeds, Sunflower Seeds",Wellness Bowl
Cyclic hematopoiesis,"Beef Liver, Spinach, Pumpkin Seeds",Immune Boost Bowl
Dalmatian bronzing syndrome,"White Fish, Broccoli, Pumpkin Seeds, Salmon, Blueberry",Anti-Inflammatory Wellness Bowl
Deafness,"Sardine, Pumpkin Seeds, Egg Yolk, Spinach, Blueberry",Anti-Inflammatory Wellness Bowl
Degenerative myelopathy,"Sunflower Seeds, Beef Heart, Salmon, Chicken Liver, Blueberry, Spinach",Neuro Support Bowl
Demodicosis/ Demodectic mange,"Pumpkin Seeds, Broccoli, Sunflower Seeds, Salmon, Sardine, Yogurt, Carrot",Wellness Bowl
Dermatomyositis and ulcerative dermatosis,"Salmon, Sunflower Seeds, Pumpkin Seeds, Sardine, Sweet Potato, Broccoli",Skin & Coat Repair Bowl
Dermoids,"Carrot, Pumpkin Seeds, Broccoli, Salmon, Egg",Skin & Coat Repair Bowl
Diabetes mellitus,"Pumpkin, Broccoli, Pumpkin Seeds, Salmon, Sweet Potato, Sunflower Seeds",Metabolic Balance Bowl
Dilated cardiomyopathy,"Chicken Heart, Beef Heart, Salmon, Pumpkin Seeds, Beef Liver",Cardiac Support Bowl
Disorders of sexual development - sexual reversal,"Pumpkin Seeds, Sunflower Seeds, Sardine, Salmon, Blueberry",Wellness Bowl
Ectropion,"Carrot, Kale, Spinach, Salmon, Broccoli, Pumpkin Seeds",Eye Health Bowl
Elbow dysplasia - OCD of the elbow,"Chicken Feet, Salmon, Broccoli, Bone Broth, Sardine",Joint & Bone Support Stew
Entropion,"Carrot, Salmon, Kale, Pumpkin Seeds, Broccoli",Eye Health Bowl
Exocrine pancreatic insufficiency,"Pumpkin, Chicken Breast, White Fish, Beef Liver, Spinach, Egg Yolk, Salmon, Chicken Heart",Digestive Care Stew
"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)","Carrot, Salmon, Kale, Pumpkin Seeds, Broccoli, Pumpkin",Eye Health Bowl
Familial kidney disease,"Egg White, Chicken Breast, Salmon, Egg Yolk, Blueberry, Chicken Liver",Renal Support Bowl
Fanconi syndrome,"Chicken Breast, Sweet Potato, Sardine, Egg, Chicken Liver, Egg Yolk",Renal Support Bowl
Fold dermatitis/pyoderma,"Salmon, Pumpkin Seeds, Sunflower Seeds, Yogurt, Carrot, Egg",Skin & Coat Repair Bowl
Follicular dysplasias,"Pumpkin Seeds, Egg, Salmon, Carrot, Sunflower Seeds, Sardine",Wellness Bowl
Gastric dilatation-volvulus,"Chicken Breast, Rice, Yogurt, Pumpkin",Digestive Care Stew
German shepherd pyoderma,"Pumpkin Seeds, Sunflower Seeds, Salmon, Yogurt, Carrot, Sardine",Wellness Bowl
Glaucoma,"Salmon, Kale, Spinach, Broccoli, Pumpkin Seeds, Blueberry",Eye Health Bowl
Globoid cell leukodystrophy (galactocerebrosidosis),"Sardine, Sunflower Seeds, Chicken Liver, Blueberry, Coconut Oil",Neuro Support Bowl
Gluten-sensitive enteropathy,"White Fish, Salmon, Yogurt, Chicken Liver, Beef Liver, Pumpkin Seeds",Digestive Care Stew
Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,"Pumpkin Seeds, Sunflower Seeds, Salmon, Egg, Sardine, Carrot",Skin & Coat Repair Bowl
Hemivertebra,"Bone Broth, Egg Yolk, Salmon, Chicken Feet, Pumpkin Seeds",Joint & Bone Support Stew
Hemophilia,"Kale, Bone Broth, Broccoli, Beef Liver, Spinach, Blueberry",Blood Support Bowl
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,"Sunflower Seeds, Sardine, Beef Heart, Salmon, Pumpkin Seeds",Muscle Support Patty
Hip dysplasia,"Chicken Feet, Salmon, Flaxseed, Broccoli, Bone Broth",Joint & Bone Support Stew
Histiocytic ulcerative colitis,"Yogurt, Salmon, Chicken Breast, Rice, Pumpkin Seeds, Carrot",Digestive Care Stew
Histiocytoma,"Blueberry, Salmon, Broccoli, Sunflower Seeds, Sardine, Mushroom",Immune Boost Bowl
Histiocytosis,"Blueberry, Salmon, Broccoli, Sunflower Seeds, Sardine, Mushroom",Immune Boost Bowl
Hydrocephalus,"Sardine, Blueberry, Sweet Potato, Sunflower Seeds, Pumpkin Seeds",Neuro Support Bowl
Hyperadrenocorticism (Cushing's syndrome),"Chicken Breast, Sweet Potato, Blueberry, Salmon, Egg White",Metabolic Balance Bowl
Hyperlipoproteinemia,"Chicken Breast, Salmon, Sweet Potato, Pumpkin, Beef Heart, Blueberry",Metabolic Balance Bowl
"Hypo-/dysmyelinogenesis (""shaking pup"")","Sardine, Beef Liver, Spinach, Egg Yolk, Pumpkin Seeds",Wellness Bowl
Hypoadrenocorticism (Addison's disease),"Chicken Breast, Banana, Broccoli, Chicken Liver, Salmon, Blueberry",Metabolic Balance Bowl
Hypothyroidism,"Sardine, Pumpkin Seeds, Chicken, Salmon, Egg Yolk, Beef Liver",Metabolic Balance Bowl
Idiopathic epilepsy,"Salmon, Pumpkin Seeds, Chicken Heart, Chicken Liver, Coconut Oil, Blueberry",Neuro Support Bowl
Immune-mediated hemolytic anemia (IMHA),"Beef Liver, Spinach, Broccoli, Blueberry, Salmon",Immune Boost Bowl
Immune-mediated thrombocytopenia,"Broccoli, Salmon, Blueberry, Beef Liver, Spinach",Immune Boost Bowl
Immunoproliferative (Basenji) enteropathy/lymphocytic-plasmacytic enteritis,"White Fish, Salmon, Chicken Breast, Yogurt, Beef Liver, Egg Yolk",Digestive Care Stew
Intervertebral disk disease,"Chicken Feet, Salmon, Broccoli, Pumpkin Seeds, Sweet Potato",Joint & Bone Support Stew
"Keratoconjunctivitis sicca (KCS) - ""dry eye""","Salmon, Carrot, Kale, Broccoli, Pumpkin Seeds, Pumpkin",Eye Health Bowl
Laryngeal paralysis,"Blueberry, Salmon, Sunflower Seeds, Chicken Liver, Beef Heart",Muscle Support Patty
Legg-Calvé-Perthes disease,"Chicken Feet, Salmon, Bone Broth, Egg Yolk, Broccoli",Joint & Bone Support Stew
Lens luxation,"Blueberry, Kale, Spinach, Sardine, Broccoli, Sunflower Seeds, Pumpkin Seeds",Eye Health Bowl
Leukodystrophies,"Sardine, Sunflower Seeds, Chicken Liver, Blueberry, Coconut Oil, Beef Liver",Neuro Support Bowl
Lissencephaly,"Sardine, Spinach, Beef Liver, Egg Yolk, Blueberry, Pumpkin Seeds",Neuro Support Bowl
"Lupus erythematosus (systemic, cutaneous/discoid)","Salmon, Egg Yolk, Sunflower Seeds, Blueberry, Sardine",Joint & Bone Support Stew
Lymphedema,"Sweet Potato, Chicken Breast, Broccoli, Blueberry, Salmon",Anti-Inflammatory Wellness Bowl
Lysosomal storage diseases,"Blueberry, Sardine, Chicken Liver, Sunflower Seeds, Coconut Oil",Wellness Bowl
Masticatory muscle myositis - eosinophilic myositis,"Salmon, Sunflower Seeds, Sardine, Blueberry, Pumpkin",Muscle Support Patty
Megaesophagus,"Chicken Breast, Rice, Pumpkin, Sweet Potato",Digestive Care Stew
Mellitus,"Pumpkin, Broccoli, Pumpkin Seeds, Salmon",Metabolic Balance Bowl
Meningitis,"Sardine, Blueberry, Broccoli, Sunflower Seeds, Pumpkin Seeds",Immune Boost Bowl
Microphthalmia; ocular dysgenesis,"Carrot, Kale, Spinach, Sardine, Pumpkin Seeds, Blueberry",Eye Health Bowl
Mitral valve dysplasia,"Chicken Heart, Salmon, Beef Heart, Pumpkin Seeds, Sweet Potato, Sunflower Seeds",Cardiac Support Bowl
Myasthenia gravis,"Egg Yolk, Chicken Liver, Blueberry, Salmon",Neuro Support Bowl
Myelodysplasia (spinal dysraphism),"Sardine, Chicken Liver, Spinach, Blueberry, Sunflower Seeds, Pumpkin Seeds",Neuro Support Bowl
Myotonia,"Pumpkin Seeds, Sweet Potato, Bone Broth, Salmon, Sunflower Seeds, Chicken Liver",Muscle Support Patty
Neuroaxonal dystrophy,"Sunflower Seeds, Sardine, Blueberry, Chicken Liver, Beef Heart",Neuro Support Bowl
Optic nerve hypoplasia and micropapilla,"Carrot, Sardine, Kale, Spinach, Pumpkin Seeds, Blueberry",Eye Health Bowl
Osteochondrodysplasia - skeletal dwarfism,"Bone Broth, Sardine, Egg Yolk, Chicken Feet, Salmon",Joint & Bone Support Stew
Pancreatitis,"Chicken Breast, White Fish, Chicken Liver, Blueberry, Yogurt, Sardine",Digestive Care Stew
Pannus - chronic superficial keratitis,"Salmon, Sunflower Seeds, Blueberry, Kale, Pumpkin Seeds, Carrot",Eye Health Bowl
Panosteitis,"Sardine, Sweet Potato, Salmon, Egg Yolk",Wellness Bowl
Patellar luxation,"Chicken Feet, Salmon, Bone Broth, Sweet Potato",Joint & Bone Support Stew
Patent ductus arteriosus (PDA),"Sweet Potato, Chicken Heart, Salmon, Beef Heart, Pumpkin Seeds, Sunflower Seeds",Cardiac Support Bowl
Pemphigus,"Salmon, Sunflower Seeds, Pumpkin Seeds, Blueberry, Sweet Potato, Broccoli",Skin & Coat Repair Bowl
Perianal fistula,"Salmon, Duck, Yogurt, Pumpkin Seeds, Sunflower Seeds, Chicken Breast",Anti-Inflammatory Wellness Bowl
Peripheral neuropathies,"Beef Liver, Chicken Liver, Spinach, Sardine, Blueberry",Neuro Support Bowl
Persistent pupillary membranes (PPM),"Carrot, Kale, Spinach, Sardine, Pumpkin Seeds, Blueberry",Eye Health Bowl
Persistent right aortic arch ( vascular ring anomaly ),"Rice, Egg, Chicken Breast, Chicken Liver",Cardiac Support Bowl
Phosphofructokinase (PFK) deficiency,"Beef Liver, Chicken Liver, Blueberry, Chicken Breast, Sweet Potato",Blood Support Bowl
Pituitary dwarfism,"Chicken Breast, Pumpkin Seeds, Carrot, Salmon",Metabolic Balance Bowl
"Platelet dysfunction (thrombocytopathia, Basset hound thrombopathia)","Kale, Bone Broth, Beef Liver, Spinach, Broccoli, Salmon",Immune Boost Bowl
Portosystemic shunt,"Egg White, Pumpkin Seeds, Chicken Liver, Chicken Breast, Pumpkin",Digestive Care Stew
Progressive retinal atrophy,"Blueberry, Broccoli, Sunflower Seeds, Kale, Spinach, Sardine, Carrot, Pumpkin Seeds",Eye Health Bowl
Protein-losing enteropathy,"White Fish, Coconut Oil, Beef Liver, Egg Yolk, Chicken Breast",Digestive Care Stew
Pulmonic stenosis,"Sweet Potato, Chicken Heart, Salmon, Beef Heart, Pumpkin Seeds, Blueberry",Cardiac Support Bowl
Pyloric stenosis,"Rice, Chicken Breast, Banana",Cardiac Support Bowl
Pyruvate kinase (PK) deficiency,"Beef Liver, Spinach, Broccoli, Blueberry",Blood Support Bowl
Renal cystadenocarcinoma and nodular dermatofibrosis,"Egg White, Chicken Breast, Salmon, Blueberry, Pumpkin",Skin & Coat Repair Bowl
Retinal dysplasia,"Carrot, Kale, Spinach, Sardine, Pumpkin Seeds, Blueberry, Broccoli",Eye Health Bowl
Schnauzer comedo syndrome,"Pumpkin Seeds, Carrot, Salmon, Egg, Sardine, Sunflower Seeds",Skin & Coat Repair Bowl
Scotty cramp,"Turkey, Chicken Liver, Pumpkin Seeds, Salmon, Sweet Potato",Wellness Bowl
Selective IgA deficiency,"Yogurt, Pumpkin Seeds, Carrot, Salmon, Egg Yolk, Sardine, Blueberry",Immune Boost Bowl
Severe combined immunodeficiency (SCID),"Pumpkin Seeds, Carrot, Broccoli, Egg Yolk, Sardine, Yogurt, Salmon",Immune Boost Bowl
Shaker dog syndrome,"Blueberry, Sardine, Sunflower Seeds, Chicken Liver, Pumpkin Seeds, Chicken Heart",Neuro Support Bowl
Sick sinus syndrome,"Chicken Heart, Beef Heart, Pumpkin Seeds, Salmon, Sweet Potato, Sunflower Seeds",Cardiac Support Bowl
Small intestinal bacterial overgrowth (SIBO),"Yogurt, Banana, Beef Liver, Egg Yolk, White Fish",Digestive Care Stew
Spina bifida,"Spinach, Beef Liver, Sardine, Pumpkin Seeds, Broccoli",Joint & Bone Support Stew
Spinal muscular atrophy/motor neuron diseases,"Sardine, Sunflower Seeds, Chicken Liver, Blueberry, Beef Heart",Neuro Support Bowl
Subaortic stenosis,"Sweet Potato, Chicken Heart, Salmon, Beef Heart, Pumpkin Seeds, Sunflower Seeds",Cardiac Support Bowl
Tetralogy of Fallot,"Sweet Potato, Chicken Heart, Salmon, Beef Liver, Beef Heart, Pumpkin Seeds",Cardiac Support Bowl
"Third eyelid (nictitating membrane) abnormalities - ""cherry eye""","Salmon, Carrot, Kale, Pumpkin Seeds, Broccoli, Blueberry",Eye Health Bowl
Tricuspid valve dysplasia,"Sweet Potato, Chicken Heart, Salmon, Beef Heart, Pumpkin Seeds, Sunflower Seeds",Cardiac Support Bowl
Urolithiasis (stones),"Pumpkin, White Fish, Chicken Liver, Pumpkin Seeds",Renal Support Bowl
Ventricular septal defect (VSD),"Sweet Potato, Chicken Heart, Salmon, Beef Heart, Pumpkin Seeds, Beef Liver",Cardiac Support Bowl
Vertebral stenosis (associated with cauda equina syndrome),"Chicken Feet, Salmon, Broccoli, Sweet Potato",Cardiac Support Bowl
Weimaraner immunodeficiency,"Pumpkin Seeds, Carrot, Broccoli, Egg Yolk, Sardine, Yogurt, Salmon",Immune Boost Bowl
X-linked muscular dystrophy,"Sunflower Seeds, Sardine, Beef Heart, Salmon, Chicken Heart",Muscle Support Patty
acanthosis nigricans,"Salmon, Sunflower Seeds, Pumpkin Seeds, Carrot, Egg, Sardine",Skin & Coat Repair Bowl
acral lick dermatitis (lick granuloma),"Salmon, Turkey, Chicken Liver, Pumpkin Seeds, Yogurt",Skin & Coat Repair Bowl
acral mutilation syndrome,"Chicken Liver, Sardine, Pumpkin Seeds, Blueberry",Skin & Coat Repair Bowl
brachycephalic syndrome,"Chicken Breast, Salmon, Blueberry, Sweet Potato",Airway Care Bowl
colour dilution alopecia,"Pumpkin Seeds, Salmon, Egg, Carrot, Sardine, Sunflower Seeds",Skin & Coat Repair Bowl
congenital hypotrichosis,"Pumpkin Seeds, Egg, Salmon, Carrot, Beef Liver, Sardine",Skin & Coat Repair Bowl
cutaneous mucinosis,"Salmon, Sunflower Seeds, Pumpkin Seeds, Blueberry, Bone Broth",Skin & Coat Repair Bowl
dermoid sinus,"Broccoli, Pumpkin Seeds, Salmon, Chicken Feet, Blueberry, Sunflower Seeds",Skin & Coat Repair Bowl
ectodermal defect,"Pumpkin Seeds, Egg, Carrot, Salmon, Chicken Feet, Beef Liver",Skin & Coat Repair Bowl
epidermal dysplasia,"Pumpkin Seeds, Salmon, Carrot, Sunflower Seeds, Egg, Sardine",Skin & Coat Repair Bowl
footpad disorder in the German shepherd,"Pumpkin Seeds, Egg, Salmon, Sunflower Seeds, Chicken Feet, Beef Liver",Skin & Coat Repair Bowl
hypoplastic trachea,"Chicken Breast, Salmon, Sweet Potato, Blueberry",Airway Care Bowl
ichthyosis,"Salmon, Carrot, Sunflower Seeds, Pumpkin Seeds, Egg",Skin & Coat Repair Bowl
lethal acrodermatitis,"Pumpkin Seeds, Salmon, Sunflower Seeds, Sardine, Egg, Blueberry",Skin & Coat Repair Bowl
lupoid dermatosis,"Salmon, Sunflower Seeds, Sweet Potato, Blueberry, Pumpkin Seeds, Egg Yolk",Skin & Coat Repair Bowl
pattern baldness,"Pumpkin Seeds, Egg, Salmon, Carrot, Sardine, Sunflower Seeds",Skin & Coat Repair Bowl
psoriasiform-lichenoid dermatosis,"Salmon, Egg Yolk, Sunflower Seeds, Pumpkin Seeds, Blueberry, Sweet Potato",Skin & Coat Repair Bowl
sebaceous adenitis,"Salmon, Carrot, Sunflower Seeds, Pumpkin Seeds, Egg, Flaxseed",Skin & Coat Repair Bowl
seborrhea,"Salmon, Pumpkin Seeds, Carrot, Sunflower Seeds, Egg, Sardine",Skin & Coat Repair Bowl
tracheal collapse,"Chicken Breast, Salmon, Chicken Feet, Broccoli",Joint & Bone Support Stew
vitamin A-responsive dermatosis,"Carrot, Pumpkin Seeds, Salmon, Sunflower Seeds, Egg",Skin & Coat Repair Bowl
vitiligo,"Beef Liver, Spinach, Blueberry, Pumpkin Seeds, Salmon, Chicken",Skin & Coat Repair Bowl
von Willebrand's disease,"Kale, Broccoli, Beef Liver, Bone Broth, Spinach, Blueberry",Blood Support Bowl
zinc-responsive dermatosis,"Pumpkin Seeds, Salmon, Sunflower Seeds, Egg, Sardine, Carrot",Skin & Coat Repair Bowl
